locus_tag	ftype	length_bp	gene	EC_number	COG	product
ADRDL_1929_00001	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
ADRDL_1929_00001	gene	939	hdfR_1			
ADRDL_1929_00002	CDS	165				hypothetical protein
ADRDL_1929_00002	gene	165				
ADRDL_1929_00003	CDS	444	ndhC	1.6.5.-		NAD(P)H-quinone oxidoreductase subunit 3
ADRDL_1929_00003	gene	444	ndhC			
ADRDL_1929_00004	CDS	663	nuoB	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit B
ADRDL_1929_00004	gene	663	nuoB			
ADRDL_1929_00005	CDS	1803	nuoC	1.6.5.11	COG0649	NADH-quinone oxidoreductase subunit C/D
ADRDL_1929_00005	gene	1803	nuoC			
ADRDL_1929_00006	CDS	501	nuoE	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit E
ADRDL_1929_00006	gene	501	nuoE			
ADRDL_1929_00007	CDS	1338	nuoF	1.6.5.11	COG1894	NADH-quinone oxidoreductase subunit F
ADRDL_1929_00007	gene	1338	nuoF			
ADRDL_1929_00008	CDS	2727	nuoG	1.6.5.11	COG1034	NADH-quinone oxidoreductase subunit G
ADRDL_1929_00008	gene	2727	nuoG			
ADRDL_1929_00009	CDS	978	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
ADRDL_1929_00009	gene	978	nuoH			
ADRDL_1929_00010	CDS	543	nuoI	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit I
ADRDL_1929_00010	gene	543	nuoI			
ADRDL_1929_00011	CDS	555	nuoJ	1.6.5.11	COG0839	NADH-quinone oxidoreductase subunit J
ADRDL_1929_00011	gene	555	nuoJ			
ADRDL_1929_00012	CDS	303	nuoK	1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit K
ADRDL_1929_00012	gene	303	nuoK			
ADRDL_1929_00013	CDS	1842	nuoL	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
ADRDL_1929_00013	gene	1842	nuoL			
ADRDL_1929_00014	CDS	1530	nuoM	1.6.5.11	COG1008	NADH-quinone oxidoreductase subunit M
ADRDL_1929_00014	gene	1530	nuoM			
ADRDL_1929_00015	CDS	1458	nuoN	1.6.5.11	COG1007	NADH-quinone oxidoreductase subunit N
ADRDL_1929_00015	gene	1458	nuoN			
ADRDL_1929_00016	CDS	504	yfbM			Protein YfbM
ADRDL_1929_00016	gene	504	yfbM			
ADRDL_1929_00017	CDS	1218	elaD	3.4.22.-		Protease ElaD
ADRDL_1929_00017	gene	1218	elaD			
ADRDL_1929_00018	CDS	918	rbn	3.1.-.-	COG1234	Ribonuclease BN
ADRDL_1929_00018	gene	918	rbn			
ADRDL_1929_00019	CDS	462				hypothetical protein
ADRDL_1929_00019	gene	462				
ADRDL_1929_00020	CDS	306	elaB		COG4575	Protein ElaB
ADRDL_1929_00020	gene	306	elaB			
ADRDL_1929_00021	CDS	1296	menF	5.4.4.2	COG1169	Isochorismate synthase MenF
ADRDL_1929_00021	gene	1296	menF			
ADRDL_1929_00022	CDS	1671	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
ADRDL_1929_00022	gene	1671	menD			
ADRDL_1929_00023	CDS	759	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
ADRDL_1929_00023	gene	759	menH			
ADRDL_1929_00024	CDS	858	menB	4.1.3.36	COG0447	1,4-dihydroxy-2-naphthoyl-CoA synthase
ADRDL_1929_00024	gene	858	menB			
ADRDL_1929_00025	CDS	963	menC	4.2.1.113	COG1441	o-succinylbenzoate synthase
ADRDL_1929_00025	gene	963	menC			
ADRDL_1929_00026	CDS	1356	menE	6.2.1.26	COG0318	2-succinylbenzoate--CoA ligase
ADRDL_1929_00026	gene	1356	menE			
ADRDL_1929_00027	CDS	267	pmrD			Signal transduction protein PmrD
ADRDL_1929_00027	gene	267	pmrD			
ADRDL_1929_00028	CDS	387	arnF		COG0697	putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
ADRDL_1929_00028	gene	387	arnF			
