locus_tag	ftype	length_bp	gene	EC_number	COG	product
SRR8582162_00001	CDS	222	yedR			Inner membrane protein YedR
SRR8582162_00001	gene	222	yedR			
SRR8582162_00002	CDS	696	yedJ		COG1418	putative protein YedJ
SRR8582162_00002	gene	696	yedJ			
SRR8582162_00003	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
SRR8582162_00003	gene	1419	dcm			
SRR8582162_00004	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
SRR8582162_00004	gene	471	vsr			
SRR8582162_00005	CDS	921	yedA			putative inner membrane transporter YedA
SRR8582162_00005	gene	921	yedA			
SRR8582162_00006	CDS	918	yedI		COG2354	Inner membrane protein YedI
SRR8582162_00006	gene	918	yedI			
SRR8582162_00007	CDS	183				hypothetical protein
SRR8582162_00007	gene	183				
SRR8582162_00008	CDS	1695	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
SRR8582162_00008	gene	1695	dgcQ			
SRR8582162_00009	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
SRR8582162_00009	gene	816	yedP			
SRR8582162_00010	CDS	228				hypothetical protein
SRR8582162_00010	gene	228				
SRR8582162_00011	CDS	189	dsrB			Protein DsrB
SRR8582162_00011	gene	189	dsrB			
SRR8582162_00012	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
SRR8582162_00012	gene	624	rcsA			
SRR8582162_00013	CDS	786				hypothetical protein
SRR8582162_00013	gene	786				
SRR8582162_00014	CDS	270				hypothetical protein
SRR8582162_00014	gene	270				
SRR8582162_00015	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
SRR8582162_00015	gene	738	fliP			
SRR8582162_00016	CDS	366	fliO		COG3190	Flagellar protein FliO
SRR8582162_00016	gene	366	fliO			
SRR8582162_00017	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
SRR8582162_00017	gene	414	fliN			
SRR8582162_00018	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
SRR8582162_00018	gene	1005	fliM			
SRR8582162_00019	CDS	465				hypothetical protein
SRR8582162_00019	gene	465				
SRR8582162_00020	CDS	1128	fliK		COG3144	Flagellar hook-length control protein
SRR8582162_00020	gene	1128	fliK			
SRR8582162_00021	CDS	444	fliJ		COG2882	Flagellar FliJ protein
SRR8582162_00021	gene	444	fliJ			
SRR8582162_00022	CDS	1374	fliI	3.6.3.14	COG1157	Flagellum-specific ATP synthase
SRR8582162_00022	gene	1374	fliI			
SRR8582162_00023	CDS	687	fliH		COG1317	Flagellar assembly protein FliH
SRR8582162_00023	gene	687	fliH			
SRR8582162_00024	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
SRR8582162_00024	gene	996	fliG			
SRR8582162_00025	CDS	1659	fliF		COG1766	Flagellar M-ring protein
SRR8582162_00025	gene	1659	fliF			
SRR8582162_00026	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
SRR8582162_00026	gene	315	fliE			
SRR8582162_00027	CDS	669	yedK	3.4.-.-	COG2135	Putative SOS response-associated peptidase YedK
SRR8582162_00027	gene	669	yedK			
SRR8582162_00028	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
SRR8582162_00028	gene	234	yedF			
SRR8582162_00029	CDS	1206				hypothetical protein
SRR8582162_00029	gene	1206				
SRR8582162_00030	CDS	414				hypothetical protein
SRR8582162_00030	gene	414				
SRR8582162_00031	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
SRR8582162_00031	gene	1488	amyA			
SRR8582162_00032	CDS	366	fliT			Flagellar protein FliT
SRR8582162_00032	gene	366	fliT			
SRR8582162_00033	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
SRR8582162_00033	gene	411	fliS			
SRR8582162_00034	CDS	1407	fliD		COG1345	Flagellar hook-associated protein 2
SRR8582162_00034	gene	1407	fliD			
SRR8582162_00035	CDS	1263	fliC		COG1344	Flagellin
SRR8582162_00035	gene	1263	fliC			
SRR8582162_00036	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
SRR8582162_00036	gene	720	fliA			
SRR8582162_00037	CDS	552	fliZ			Regulator of sigma S factor FliZ
SRR8582162_00037	gene	552	fliZ			
SRR8582162_00038	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
SRR8582162_00038	gene	858	fliY			
SRR8582162_00039	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
SRR8582162_00039	gene	987	dcyD			
SRR8582162_00040	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
SRR8582162_00040	gene	669	yecS			
SRR8582162_00041	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
SRR8582162_00041	gene	753	artM_1			
SRR8582162_00042	CDS	723	sdiA		COG2771	Regulatory protein SdiA
SRR8582162_00042	gene	723	sdiA			
SRR8582162_00043	CDS	225				hypothetical protein
SRR8582162_00043	gene	225				
SRR8582162_00044	CDS	657	uvrY		COG2197	Response regulator UvrY
SRR8582162_00044	gene	657	uvrY			
SRR8582162_00045	CDS	1833	uvrC		COG0322	UvrABC system protein C
SRR8582162_00045	gene	1833	uvrC			
SRR8582162_00046	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
SRR8582162_00046	gene	549	pgsA			
SRR8582162_00047	tRNA	76				tRNA-Gly(gcc)
SRR8582162_00047	gene	76				
SRR8582162_00048	tRNA	74				tRNA-Cys(gca)
SRR8582162_00048	gene	74				
SRR8582162_00049	tRNA	87				tRNA-Leu(taa)
SRR8582162_00049	gene	87				
SRR8582162_00050	CDS	666				hypothetical protein
SRR8582162_00050	gene	666				
SRR8582162_00051	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
SRR8582162_00051	gene	1212	tyrP			
SRR8582162_00052	CDS	240				hypothetical protein
SRR8582162_00052	gene	240				
SRR8582162_00053	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
SRR8582162_00053	gene	498	ftnA_1			
SRR8582162_00054	CDS	324				hypothetical protein
SRR8582162_00054	gene	324				
SRR8582162_00055	CDS	252				hypothetical protein
SRR8582162_00055	gene	252				
SRR8582162_00056	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
SRR8582162_00056	gene	504	ftnA_2			
SRR8582162_00057	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
SRR8582162_00057	gene	990	araF			
SRR8582162_00058	CDS	1515	araG	3.6.3.17	COG1129	Arabinose import ATP-binding protein AraG
SRR8582162_00058	gene	1515	araG			
SRR8582162_00059	CDS	987	rbsC_1		COG1172	Ribose import permease protein RbsC
SRR8582162_00059	gene	987	rbsC_1			
SRR8582162_00060	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
SRR8582162_00060	gene	801	otsB			
SRR8582162_00061	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
SRR8582162_00061	gene	1425	otsA			
SRR8582162_00062	CDS	429	uspC		COG0589	Universal stress protein C
SRR8582162_00062	gene	429	uspC			
SRR8582162_00063	CDS	351	flhD			Flagellar transcriptional regulator FlhD
SRR8582162_00063	gene	351	flhD			
SRR8582162_00064	CDS	579	flhC			Flagellar transcriptional regulator FlhC
SRR8582162_00064	gene	579	flhC			
SRR8582162_00065	CDS	888	motA		COG1291	Motility protein A
SRR8582162_00065	gene	888	motA			
SRR8582162_00066	CDS	927	motB		COG1360	Motility protein B
SRR8582162_00066	gene	927	motB			
SRR8582162_00067	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
SRR8582162_00067	gene	1965	cheA			
SRR8582162_00068	CDS	504	cheW		COG0835	Chemotaxis protein CheW
SRR8582162_00068	gene	504	cheW			
SRR8582162_00069	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
SRR8582162_00069	gene	1662	tar			
SRR8582162_00070	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
SRR8582162_00070	gene	1602	tap			
SRR8582162_00071	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
