#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_100_length_1468_cov_60.478001	125	1344	ehaB	87-1276/2949	=======./......	8/36	40.25	90.52	ecoli_vf	gi:222155165	ecoli_vf~~~ehaB~~~gi:222155165 structural protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_106_length_1182_cov_13.394313	1	129	fimD	2517-2645/2754	.............==	0/0	4.68	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_10_length_135241_cov_42.008289	126	1805	ehaB	1270-2949/2949	......=========	0/0	56.97	98.99	ecoli_vf	gi:222155165	ecoli_vf~~~ehaB~~~gi:222155165 structural protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_10_length_135241_cov_42.008289	38281	38416	entD	1-136/771	===...../......	4/4	17.38	82.61	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_10_length_135241_cov_42.008289	99552	99677	entD	1-126/771	===...../......	2/2	16.21	88.19	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_11_length_134192_cov_44.886219	35481	35593	entD	2-114/771	===...../......	2/2	14.53	88.60	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_11_length_134192_cov_44.886219	74828	74963	entD	1-136/771	===...../......	2/2	17.51	83.21	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_11_length_134192_cov_44.886219	104020	104141	entD	1-132/771	===...../......	2/12	15.69	84.96	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_129_length_630_cov_197.896620	395	630	fimD	2519-2754/2754	.............==	0/0	8.57	100.00	ecoli_vf	gi:260871037	ecoli_vf~~~fimD~~~gi:260871037 outer membrane usher protein FimD
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_12_length_122429_cov_43.653407	100367	101347	yggr	1-981/981	===============	0/0	100.00	95.72	ecoli_vf	SPG000074	ecoli_vf~~~yggr~~~SPG000074 Retraction ATPase Adherence Hemorrhagic coli pilus
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_12_length_122429_cov_43.653407	120229	121016	tia	5-792/792	===============	0/0	99.49	97.46	ecoli_vf	gi:387608612	ecoli_vf~~~tia~~~gi:387608612 heat resistant agglutinin 1
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	236	1006	entD	1-771/771	===============	0/0	100.00	94.03	ecoli_vf	gi:26246560	ecoli_vf~~~entD~~~gi:26246560 phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	1031	3271	fepA	1-2241/2241	===============	0/0	100.00	96.79	ecoli_vf	gi:26246561	ecoli_vf~~~fepA~~~gi:26246561 ferrienterobactin outer membrane transporter
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	3514	4716	fes	1-1203/1203	===============	0/0	100.00	96.51	ecoli_vf	gi:26246563	ecoli_vf~~~fes~~~gi:26246563 enterobactin/ferric enterobactin esterase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	4934	8763	entF	1-3830/3882	===============	0/0	98.66	95.82	ecoli_vf	gi:26246565	ecoli_vf~~~entF~~~gi:26246565 enterobactin synthase multienzyme complex component ATP-dependent
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	9032	10165	fepE	1-1134/1134	===============	0/0	100.00	94.18	ecoli_vf	gi:26246566	ecoli_vf~~~fepE~~~gi:26246566 ferric enterobactin transport protein FepE
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	10162	10977	fepC	1-816/816	===============	0/0	100.00	97.18	ecoli_vf	gi:26246567	ecoli_vf~~~fepC~~~gi:26246567 ferrienterobactin ABC transporter ATPase
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	10974	11966	fepG	1-993/993	===============	0/0	100.00	94.76	ecoli_vf	gi:26246568	ecoli_vf~~~fepG~~~gi:26246568 iron-enterobactin ABC transporter permease
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	11963	12979	fepD	1-1017/1017	===============	0/0	100.00	96.36	ecoli_vf	gi:26246569	ecoli_vf~~~fepD~~~gi:26246569 ferrienterobactin ABC transporter permease
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	13078	14328	entS	1-1251/1251	===============	0/0	100.00	95.60	ecoli_vf	gi:26246570	ecoli_vf~~~entS~~~gi:26246570 enterobactin exporter iron-regulated
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	14332	15288	fepB	1-957/957	===============	0/0	100.00	97.28	ecoli_vf	gi:26246571	ecoli_vf~~~fepB~~~gi:26246571 ferrienterobactin ABC transporter periplasmic binding protein
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	15651	16838	entC	1-1188/1188	===============	0/0	100.00	97.56	ecoli_vf	gi:26246572	ecoli_vf~~~entC~~~gi:26246572 isochorismate synthase 1
ESC_CB1462AA_AS.fasta	ESC_CB1462AA_AS_NODE_13_length_120195_cov_40.725331	16848	18458	entE	1-1611/1611	===============	0/0	100.00	95.97	ecoli_vf	gi:26246573	ecoli_vf~~~entE~~~gi:26246573 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex
